headlines,outcome
ID2020 Alliance aims to microchip all allowing vaccine administration,Misinformation
If I?e already had COVID-19  I don? need a vaccine,Misinformation
Images showing vaccines for coronavirus have already been discovered ere patented and will be readily available,Misinformation
In a video he Ooni of Ife  Nigerian traditional healer ays that plant products and sulphur can be used to treat COVID 19 nd a vaccine for the disease can be extracted from the substances too,Misinformation
In a video logger Ken Jebsen claims Bill Gates took control over the health system to force his vaccines upon everyone  He funds 80 percent of the WHO  In Germany people are arrested because they carry the constitution  Grundgesetz   Germany secretly wants to impose compulsory vaccines in a new law nd COVID 19 is just a harmless flu,Misinformation
In early 2021  the US speed in delivery of COVID 19 vaccines was the envy of much of the world. But by mid 2021  the tables turned as Europea  Indian COVID 19 vaccine production started exceeding US production levels.,Misinformation
In new interview to Fox resident Trump suggests India could have early access to COVID 19 vaccines being developed in US since PM Modi accepted request on HCQ,Misinformation
In new interview to Fox resident Trump suggests India could have early access to COVID 19 vaccines being developed in US since PM Modi accepted request on HCQ,Misinformation
In the United Kingdom he woman who was tried for the coronavrus vaccine has died,Misinformation
In the United Kingdom he woman who was tried for the coronavrus vaccine has died,Misinformation
In the United States  scientist who was developing a vaccine for coronavirus was killed,Misinformation
In this video talian representative Sara Cunial tells the truth about Bill Gates and its will to control world population through vaccines and medical experiment,Misinformation
India is suing Microsoft founder Bill Gates because of his vaccine against coronavirus that killed 77 000 girls,Misinformation
Infant deaths decreased dramatically during the lockdown hen the number of vaccines administered was reduced  vaccines are a cause of sudden infant death syndrome,Misinformation
Influenza and coronavirus vaccines are more likely to cause upper respiratory tract infections  All COVID 19 tests shows positive result,Misinformation
Influenza vaccines are likely to result in a false positive PCR test for Sars CoV 2,Misinformation
Influenza vaccines contain the coronavirus and increase the spread of COVID 19,Misinformation
Irish Prime Minister Leo Varadkar is going to the Supreme Court to make the coronavirus vaccine mandatory for all people living in Ireland,Misinformation
Israel allegedly developed a COVID 19 vaccine,Misinformation
Israel and USA have come up with a vaccine,Misinformation
Israel has already developed a vaccine against COVID 19,Misinformation
Israel has manufactured the coronavirus vaccine,Misinformation
Israeli scientists at the MIGAL Research Institute have developed a vaccine for COVID 19,Misinformation
Israeli scientists at the MIGAL Research Institute have developed a vaccine for COVID 19,Misinformation
Israeli scientists developed a vaccine for the novel Coronavirus,Misinformation
Israeli scientists have developed a COVID 19 vaccine,Misinformation
It was claimed that Israelis discovered vaccine for Coronavirus and no more deaths will be there,Misinformation
It was claimed that the BCG vaccine iven to all Indians mandatorily after birth akes them immune to coronavirus,Misinformation
Italian doctor who supports the anti vaccine movement claims that vaccines won t help in the fight with novel coronavirus because virus mutates too quickly  Post also claims that in reality only 3 people in Italy died because of coronavirus,Misinformation
Italian MP Sara Cunial says Bill Gates kills people with vaccines and  terminator  seeds nd that he is behind the COVID 19 pandemic,Misinformation
Jo ? Doria overnor of S ? Paulo igned a contract with Sinovac to develop a vaccine against COVID 19 in August  Therefore e knew all about the disease and is part of a Chinese conspiracy,Misinformation
Judy Mikovit s claims about the origins of COVID 19 lu vaccine and face masks from the documentary Plandemic retold in FB post,Misinformation
Judy Mikovits  claims about COVID 19 origins lu vaccine ydroxychloroquine and face masks from the documentary Plandemic retold in FB post,Misinformation
Kenya is the first African country to receive a COVID 19 vaccine from the United Kingdom,Misinformation
KNUST students discover vaccine for coronavirus and cure patient in C?e d Ivoire,Misinformation
Last year n China  vaccine was compulsory and that vaccine supposedly hosts a digitized virus s the one that causes COVID 19 and can be activated through 5G antennas,Misinformation
Lee Kum Kee is a doctor and scientist graduated in China is the creator of the vaccine to cure coronavirus,Misinformation
Lithuanian parliament member said that there are some very serious reasons to believe that virus was made artificialy in a laboratory and everything is related to Gates and other millionaires plan to create artificial virus just to sell vaccines afterwards,Misinformation
Luc Montagnier  Nobel prize winner laims that Sars Cov 2 was made in the laboratory to create an HIV vaccine,Misinformation
Mahmoud Abdel Qader Al Bizerti he lead researcher in a German group developing a vaccine for COVID 19 was murdered,Misinformation
Many people every year sometimes over 100 000 and despite the vaccine die from the flu,Misinformation
Mask guidance for vaccinated people is based in science,Misinformation
Mass vaccination for COVID 19 in Senegal was started yesterday  4/8  and the first 7 CHILDREN who received it DIED on the spot,Misinformation
Mass vaccination for COVID 19 in Senegal was started yesterday  4/8  and the first 7 CHILDREN who received it DIED on the spot,Misinformation
Massive protests against mandatory vaccination in Poland,Misinformation
Mauricette M  la premi?e personne vaccin? en France contre le Covid 19 avait elle donn?son consentement,Misinformation
Melinda Gates divorced her husband Bill because he created a toxic vaccine whose purpose is to destroy the African,Misinformation
Misleading claim circulates that flu vaccines make people more vulnerable to infections,Misinformation
Moderna s COVID 19 vaccine is dangerous,Misinformation
Modi is boasting about the Indian Covid 19 vaccine in front of Indians in Germany. While 66percent  of Indians are vaccinated  in Germany  the vaccination rate is 76percent . Forget thousands of dead bodies floating in Indian rivers. Still  the upper caste diaspora is clapping.,Misinformation
Multiple Facebook and Twitter posts shared hundreds of times claim the Australian state of Western Australia has recently passed a  COVID 19 Emergency Powers Act  that authorises forcible medical examination and vaccination in schools,Misinformation
Multiple Facebook posts shared hundreds of times claim that Bill Gates   ultimate goal  is to  microchip the  COVID 19  vaccine  to create  virtual IDs   The posts also claim the billionaire philanthropist was in New Zealand in May and June 2020  to test and trial the COVID 19 vaccine,Misinformation
Multiple Facebook posts shared hundreds of times claim that Bill Gates   ultimate goal  is to  microchip the  COVID 19  vaccine  to create  virtual IDs   The posts also claim the billionaire philanthropist was in New Zealand in May and June 2020  to test and trial the COVID 19 vaccine,Misinformation
Multiple Facebook posts shared thousands of times by Filipino Facebook users make several false claims about a future vaccine for COVID 19 he disease caused by the novel coronavirus  The posts also make claims about a link between a potential vaccine and the rollout of 5G technology,Misinformation
Multiple posts shared hundreds of times on Facebook and Twitter claim that four Ukrainian soldiers died after participating in American COVID 19 vaccine trials in the northeastern Ukrainian city of Kharkiv  The claim ublished in several languages across different posts as attributed to a police spokesperson in the self proclaimed Lugansk People s Republic,Misinformation
Multiple posts shared hundreds of times on Facebook and Twitter in March 2020 claim a new vaccine and a new drug have been developed to prevent and treat the novel coronavirus  The posts claim the developments were made by scientists in Japan and the Philippines respectively,Misinformation
Multiple posts shared with pictures of an aircraft delivering supplies claim to show the delivery of coronavirus vaccines from China to a Nigerian airport,Misinformation
Myanmar health minister mentions that a vaccine for COVID 19 was found,Misinformation
Nanochips were found in COVID 19 vaccines,Misinformation
New misinformation circulates online in Asia about creation of vaccine and drug for COVID 19,Misinformation
New study  The flu vaccine is ignificantly associated ith an increased risk of coronavirus,Misinformation
New vaccine can help cure coronavirus in three hours,Misinformation
New York schools add a COVID 19 vaccine to the mandatory school schedule,Misinformation
No  vaccine will not be required to obtain a visa for Europe,Misinformation
No dexamethasone not a Covid 19 vaccine no evidence it causes infertility,Misinformation
No more deaths from COVID 19 as Israeli scientists have discovered a vaccine,Misinformation
No rump Didn t Say Roche Medical nnounced Vaccine for COVID 19,Misinformation
Now that we have a vaccine for COVID-19  we can make vaccines for the common cold  HIV and other diseases.,Misinformation
Number of hospitalizations in the state is now higher than before the COVID 19 vaccine was introduced a year ago  and in fact is higher than it s been in the past five years  Dr. Lindsay Weaver ,Misinformation
Ok yeah they banned abortions but they also came out with the new covid 19 vaccine for babies so it s like really nothing lost or gained.,Misinformation
Oklahoma police planning to set up roadblocks to enforce a mandatory COVID 19 vaccination law and slap micro chipped bracelets on people,Misinformation
Old family photo of Covid 19 vaccine inventor,Misinformation
On March 25 rench scientist successfully tested a vaccine against COVID 19,Misinformation
On video an unidentified woman warns Africans not to accept vaccines from China laiming that the Chinese government wants to kill the  African population  with fake vaccines  She says that seven children died in Senegal after being given the fake vaccine from China,Misinformation
One of the first recipients of a trial COVID 19 vaccine died,Misinformation
Oxford University s vaccine is made using the cells of aborted fetuses,Misinformation
People in Ukraine will be forcibly vaccinated against the new coronavirus,Misinformation
People who have received flu vaccines in the past three to five years will  probably test positive  for COVID 19,Misinformation
Photo of a COVID 19 diagnosis kit is viral as a coronavirus curing vaccine being launched on Sunday,Misinformation
Photo of a vaccine developed by U S  scientists for COVID 19,Misinformation
Photos of large plastic wrapped bundles being offloaded from a plane are of COVID 19 vaccines China has sent to Nigeria o be distributed for free,Misinformation
Plandemia   This video claims that the coronavirus was created in a laboratory nd that it is a plan to reduce the population where vaccines and abortion are involved mong many other claims,Misinformation
Plandemic  vignette featuring Judy Mikovits claims that coronavirus is manmade  that flu vaccine increases risk of COVID 19  that hydroxychloroquine is effective for treating COVID 19,Misinformation
Poland stands up against compulsory vaccination,Misinformation
Posts on social media claim that people who have been vaccinated against the flu in the last 10 years will test positive for COVID 19,Misinformation
Posts on social media claim there is a US patent for the novel coronavirus and a European patent for a vaccine iting specific patent numbers,Misinformation
President Donald Trump announced a vaccine by Roche Diagnostics,Misinformation
President Donald Trump announced commercialization of a vaccine,Misinformation
President Donald Trump has announced that the Roche Medical Company will launch a coronavirus vaccine this Sunday,Misinformation
President Donald Trump tried to buy a vaccine developed in Germany,Misinformation
President Donald Trump tweeted   Coronavirus vaccine from Israel  Stock market up  Economy even stronger now  Besides US srael best at inventions  Judaism lives  Wonderful vaccine ill stop Corona DEAD around world  Can t make vaccines when being bombed ot have been possible without peace I created in Israel,Misinformation
President Donald Trump will announce that a scientist  finally found a vaccine to cure coronavirus,Misinformation
Prince Charles  recovery from COVID 19 is suspicious  it is proof that a vaccine already exists,Misinformation
Publications that state that  the new vaccine contains digitizable  RNA   n alleged  replicant that is activated by 5G  and that is why  the virus can be reactivated after the patient recovers,Misinformation
Quarantine has only worsened the situation accination against coronavirus is pointless and harmful ays infectious disease specialist Nadiia Zholobak,Misinformation
Recent news and media claims that the Tuberculosis vaccine  BCG may be effective against COVID 19,Misinformation
Reports that there is a Chinese vaccine for COVID 19 that has arrived in Africa,Misinformation
Researchers from Oxford University are offering Ksh100 000 to Kenyan volunteers for a COVID  19 vaccine trial,Misinformation
Researchers rushed the development of the COVID-19 vaccine  so its effectiveness and safety cannot be trusted.,Misinformation
RNA based COVID 19 vaccines can turn humans into genetically modified organisms,Misinformation
Roche has developed a COVID 19 vaccine,Misinformation
Romania developed a coronavirus vaccine able to cure white people only,Misinformation
Russia already has a vaccine to fight COVID 19,Misinformation
Russia has a vaccine for the coronavirus,Misinformation
Russias Sechenov University has NOT  completed  COVID vaccine clinical trials  media misreports,Misinformation
Says a coronavirus patent expired just as there is a udden outbreak nd espite edia fear mongering there is already a vaccine available,Misinformation
Says a coronavirus patent expired just as there is a udden outbreak nd espite edia fear mongering there is already a vaccine available,Misinformation
Says a coronavirus patent expired just as there is a udden outbreak nd espite edia fear mongering there is already a vaccine available,Misinformation
Says American NIAID director Dr  Anthony Fauci  stands to lose 100 million dollars on Bill Gates  vaccine  for the coronavirus  Because he invested in this vaccine,Misinformation
Says Bill Gates said We need to develop a digital certificate that shows who has received all the vaccinations  Only those with all the required vaccinations may travel isit churches articipate in sports and music events et a job tc,Misinformation
Says Donald Trump tweeted Corona vaccine from Israel  Stock market up  Economy even stronger now  Besides US srael best at inventions  Judaism lives  Wonderful vaccine ill stop Corona DEAD around world  Can t make vaccines when being bombed ot have been possible without peace I created in Israel,Misinformation
Says Dr  Anthony Fauci  stands to lose 100 million dollars on Bill Gates  vaccine  for the coronavirus  Because he invested in this vaccine,Misinformation
Says President Donald Trump will announce that a scientist inally found vaccine to cure corona virus,Misinformation
Scientists develop a vaccine that cures COVID 19 in three days,Misinformation
Scientists from Australia create the first vaccine for novel coronavirus,Misinformation
Seasonal influenza vaccination will be mandatory in Georgia this fall  COVID 19 mortality rates are significantly lower than the fatalities caused by other viruses,Misinformation
Sechenov First Moscow State Medical University in Russia has completed the clinical trials for the  world s first COVID 19 vaccine,Misinformation
Senegalese children did not die from a coronavirus vaccine  which does not yet exist ,Misinformation
Seven children in Senegal are dead due to coronavirus vaccine testing,Misinformation
Seven Senegalese children died after having recieved a vaccine against COVID 19,Misinformation
Social media posts and online articles shared tens of thousands of times claim that the foundation of billionaire philanthropist Bill Gates tested a polio vaccine in India that left at least 490 000 children paralyzed,Misinformation
Spanish biologist compares salaries of footballers and doctors looking for COVID 19 vaccine,Misinformation
Spanish biologist compares salaries of footballers and doctors looking for COVID 19 vaccine,Misinformation
Spanish singer Miguel Bos ?accused Gates Foundation to be expelled from India for their vaccines,Misinformation
Stefano Montanari exposes the  truth  about coronavirus vaccination,Misinformation
Sweden has banned mandatory vaccination,Misinformation
Switzerland already has the coronavirus vaccine In 6 months he hopes to have the entire population of his country vaccinated and then export it to the rest of the world says the image,Misinformation
Switzerland banned vaccination and someone named  Father Escobar  said that through vaccination Satan inserts a code into a human body,Misinformation
Taiwan is collaborating with the U S  for rapid test kits and vaccine development,Misinformation
The bus of Europeans doctors bringing vaccines against COVID 19 in DR Congo was chased away by a crowd of bikers near Kinshasa,Misinformation
The cases of COVID 19 he disease caused by the novel coronavirus s not real and was planned by US billionaire Bill Gates to push the use of vaccines and microchip implants,Misinformation
The CDC can detain anyone with a fever   indefinitely    Vaccination  is  a way people could get out of detention,Misinformation
The CDC can detain anyone with a fever indefinitely  Vaccination  is  a way people could get out of detention,Misinformation
The citizens can deny mandatory vaccination if they ask a specific set of questions to their doctor  Also every vaccine contains MRC 5 cells from aborted fetuses,Misinformation
The claim that  Profession  said that vaccinations will be mandatory therwise there will be severe consequences against those who refuse to vaccinate children and whose children will be taken away,Misinformation
The coronavirus has already existed ven in domestic animals nd there is a vaccine to fight it,Misinformation
The coronavirus vaccine is ready and works in 3 hours  picture ,Misinformation
The coronavirus will fade away on its own o no vaccine is needed,Misinformation
The coronavirus will fade away on its own o no vaccine is needed,Misinformation
The COVID 19 future vaccine will come with the ID   a mark  The ID tells everyone you are free of COVID,Misinformation
The COVID 19 future vaccine will come with the ID   a mark  The ID tells everyone you are free of COVID,Misinformation
The COVID 19 vaccine being developed in China is more effective and cheaper than the one developed by Oxford University,Misinformation
The COVID 19 vaccine being developed in China is more effective and cheaper than the one developed by Oxford University,Misinformation
The COVID 19 vaccine causes bad alergic reactions,Misinformation
The COVID-19 vaccine enters your cells and changes your DNA.,Misinformation
The COVID-19 vaccine was developed with or contains controversial substances.,Misinformation
The death of Kobe Bryant overshadowed the news that an American drugmaker was hustling to make a vaccine for coronavirus nd 200 people died of COVID 19 in August 2019 in the USA,Misinformation
The Democrats are pushing for an implanted microchip in humans nd everyone to be vaccinated,Misinformation
The Democrats are pushing for an implanted microchip in humans nd everyone to be vaccinated,Misinformation
The existence of a canine coronavirus vaccine casts doubt on statements that there isn t one for humans,Misinformation
The existence of a canine coronavirus vaccine casts doubt on statements that there isn t one for humans,Misinformation
The first person to received a Chinese COVID 19 vaccine that is being tested in Brazil was not actually vaccinated  The video was just a simulation ince the cap of the injection was still on,Misinformation
The first test results for the Moderna vaccine are disappointing,Misinformation
The first volunteer for the new COVID 19 vaccine died,Misinformation
The flu vaccine caused the spread of COVID 19,Misinformation
The future coronavirus vaccine will implant a microchip called id2020,Misinformation
The measles mumps rubella vaccine reduces the severity of COVID 19,Misinformation
The messenger RNA technology used to make the COVID-19 vaccine is brand new.,Misinformation
The new coronavirus vaccine has digitizable RNA hat is activated by 5G and can reactivate the virus,Misinformation
The new vaccination system against COVID 19 tudied in Pittsburgh in the US nserts microchips in the body,Misinformation
The new vaccine contains  RNA  Digitizable replicator that is activated with 5g o that the virus can reactivate after the patient recovers,Misinformation
The novel coronavirus was made in a lab and is now spread as a way to force vaccinate people,Misinformation
The Pfizer Covid 19 candidate vaccine is not too cold to be called a vaccine,Misinformation
The photo of a vaccine for canine coronavirus proves that a vaccine exists for the novel coronavirus that causes COVID 19,Misinformation
The prime minister of Australia was caught on video pretending to receive a vaccine against COVID 19,Misinformation
The side effects of the COVID-19 vaccine are dangerous.,Misinformation
The spread of COVID 19 can be prevented with a  home made vaccine  based on fruits and other ingredients,Misinformation
The text claims that mass media owners alled  Satanists  in the text re forcing the public to voluntarily look for a coronavirus vaccine  It also describes the vaccine  which still does not exist  as   A vaccine in which the beast s mark is present in liquid form with nano technology nd he will completely control the world and all people,Misinformation
The US uses the new coronavirus to put in place global control  They are going to inject nano chips during vaccination o control the foreign economies affected by COVID 19 nd to govern those countries,Misinformation
The USA are counting on alternative medicine like chlorine dioxide or hydroxychloroquine instead of vaccines,Misinformation
The vaccine against COVID 19 is finally ready,Misinformation
The vaccine against the new coronavirus has been developed in Ukraine,Misinformation
The vaccine against the new coronavirus has existed since 2001,Misinformation
The vaccine against the new coronavirus has existed since 2001,Misinformation
The vaccine against the new coronavirus has existed since 2001,Misinformation
The vaccine against the new coronavirus was created before the disease appeared  three people who recently arrived from China in Sarajevo Canton are under medical supervision and have brought COVID 19 to Sarajevo,Misinformation
The vaccine for coronavirus is ready  as of July 7 ,Misinformation
The vaccine for coronavirus is ready  US President Donald Trump has announced that Roche Medical Company will launch it,Misinformation
The vaccine from the artificial coronavirus will change the human genetic code ccording to Rashid Buttar,Misinformation
The vaccine that China is testing for COVID 19 is bad for humans,Misinformation
The WHO approved a Chinese vaccine against COVID 19 that costs US 10000 per dose  it also forbade tests with an American vaccine hich would be given at very low cost,Misinformation
The World Health Organization suspended production of an American COVID 19 vaccine nd promoted the Chinese version,Misinformation
There are reports circulating on social media that Bill Gates said that a new experimental mRNA vaccine could change patients  DNA,Misinformation
There has been vaccine for coronavirus  COVID 19  since 2001,Misinformation
There is already a vaccine for coronavirus reated in the U S,Misinformation
There is microchip that will be implanted in the future coronavirus vaccine to control the population for political and economic purposes,Misinformation
There is microchip that will be implanted in the future coronavirus vaccine to control the population for political and economic purposes,Misinformation
There is no home vaccination against coronavirus in Cuba,Misinformation
There is nothing called  coronavirus  and it is just a hoax to pass Bill Gates s vaccine,Misinformation
Theres magically already a vaccine available,Misinformation
Theres magically already a vaccine available,Misinformation
They create diseases to offer vaccines  There is already a patent for an attenuated coronavirus,Misinformation
This image has circulated in reports about China testing a potential COVID 19 vaccine that has not been approved by health authorities,Misinformation
This image prove that a coronavirus vaccine for animals has existed since 2001  Do they think we re complete fools,Misinformation
This is an image of a suspected coronavirus vaccine causing COVID 19,Misinformation
This is the Russian doctor called Dahrov who invented the COVID19 vaccine,Misinformation
This is the Russian doctor called Dahrov who invented the COVID19 vaccine,Misinformation
Trump announced that Roche Medical Company will launch a vaccine to cure COVID 19 in 3 hours,Misinformation
Turkish doctor allegedly found coronavirus vaccine,Misinformation
Turkish doctor allegedly found coronavirus vaccine,Misinformation
U S  government planning to force Americans to take vaccinations during the coronavirus pandemic with the help of Bill Gates,Misinformation
UK s Covid 19 vaccine trial volunteer Dr Elisa Granato is dead,Misinformation
UN secretary general announcement that COVID 19 vaccine trials will begin in Africa,Misinformation
Unlicensed vaccines are not untested,Misinformation
US biotech company says its COVID 19 vaccine is in the development phase,Misinformation
US President Donald Trump did not announce a coronavirus vaccine was eady,Misinformation
Vaccine  Injured  Bereaved UK   is formed of 95 individuals and families who have either been severely injured or bereaved as a direct result of receiving a Covid 19 vaccine in the UK. ,Misinformation
Vaccines against the novel coronavirus are dangerous  Moreover  mutation in the virus will make them ineffective,Misinformation
Vaccines are dangerous   says the German homeopathic organisation ?zte f? Aufkl?ung hich campaigns against the coronary measures and against vaccines  They give four cases on her website that would show that vaccines can be dangerous  Three of the four cases are misleading ne is uncertain,Misinformation
Vaccines are dangerous   says the German homeopathic organisation ?zte f? Aufkl?ung hich campaigns against the coronary measures and against vaccines  They give four cases on her website that would show that vaccines can be dangerous  Three of the four cases are misleading ne is uncertain,Misinformation
Vaccines are in direct violation of The Nuremberg Code,Misinformation
Vaccines hips nd 5G are interconnected and needed to establish control over people,Misinformation
Vaccines ncluding the one for COVID 19 nclude aborted fetal tissues,Misinformation
Vaccines to cure COVID 19 are ready,Misinformation
Video of American President Donald Trump announcing that Roche Medical Company will launch the vaccine for COVID 19,Misinformation
Video of former China CDC director criticising China made vaccines in 2010 is recirculated in misleading social media posts,Misinformation
Video of Islamic Ulema in Indonesia forced to get COVID 19 vaccine Injected,Misinformation
Video of President Donald Trump announcing that Roche Medical Company will launch the vaccine for COVID 19 next Sunday,Misinformation
Video of President Donald Trump announcing that Roche Medical Company will launch the vaccine for COVID 19 next Sunday,Misinformation
Video reveals a secret vaccine for the novel coronavirus n the White House,Misinformation
Video reveals a secret vaccine for the novel coronavirus n the White House,Misinformation
Video reveals a secret vaccine for the novel coronavirus n the White House,Misinformation
Video shows that the first volunteer to be vaccinated with CoronaVac  vaccine produced by chinese Sinovac Biotech idn t have the arm punctured hich proves that the drug is a scam,Misinformation
Viral photo does not show Bharat Biotech s VP taking first dose of COVID vaccine  Covaxin ,Misinformation
Viral Posts Falsely Claim Coronavirus Vaccine rugs Developed In Asia,Misinformation
Viral tweet cites made up CDC  COVID 19 survival rates  to downplay vaccine,Misinformation
Viral video reveals there is a coronavirus vaccine patent owned by Bill Gates,Misinformation
We will have a vaccine by september xford s science team says,Misinformation
What members of FDA vaccine advisory committee saw and heard during Wednesdays meeting should have stopped them from recommending authorization of COVID 19 vaccines for children as young as 6 months but it didn t.,Misinformation
When the COVID 19 vaccine is introduced icrochips will also be introduced into the human body hen 5G networks will come into play hrough which the world s elite will send various signals to nanochips that have settled in human organisms  They will want to send such a signal that only the a  Golden  billion will remain on Earth,Misinformation
Whether countries with high rates of childhood vaccines were hit hardest by coronavirus,Misinformation
WHO envoy says COVID 19 vaccine can not be found,Misinformation
WHO says Coronavac accine produced by Sinovac Biotech asn t been tested anywhere in the world before Brazil,Misinformation
Will the Tragic Fate of World Stars like Celine Dion and Justin Bieber Open the Eyes of their Fans? Impacts of Covid 19 Vaccine Celine Dion and Justin Bieber  same tragic destiny after Covid vaccines,Misinformation
Young people  have a greater chance of being killed by the HPV vaccine than COVID 19,Misinformation
Young people ave a greater chance of being killed by the HPV vaccine than COVID 19,Misinformation
Vaccine make us sick,Misinformation
Covid19 vaccine give severe illness to a patient,Misinformation
vaccine can caused death,Misinformation
vaccine make our body weak and can cause death,Misinformation
vaccime can affect infertility,Misinformation
 The CDC continues to monitor the spread of COVID-19 and makes recommendations for wearing face masks  both for those who are fully vaccinated as well as those who are not fully vaccinated,Valid
1 or 2 days of side effects after the COVID 19 vaccine means it s working,Valid
A study from the United Kingdom examined the effectiveness of the vaccine against the omicron variant  It found that vaccine effectiveness against hospitalization is 52% after one dose and 72% for the first 24 weeks after the second dose  The effectiveness waned to 52% beyond 24 weeks after the second dose but soared back up to 88% after a booster dose,Valid
A vaccine breakthrough infection happens when a fully vaccinated person gets infected with COVID 19  People with vaccine breakthrough infections may spread COVID 19 to others,Valid
A vaccine for the coronavirus has been discovered,Valid
A video shared thousands of times on Facebook makes false claims about the products of syringe maker Apiject Systems of America hich has a contract with the government to provide medical grade injection devices for vaccines,Valid
Active duty senior Army official told The Defender  on condition of anonymity  Army is strongly considering pushing the June 30 deadline for compliance with the militarys COVID 19 vaccine mandate far into the future  but will not announce the date change.,Valid
Additionally eople who got the COVID 19 vaccine are less likely to be hospitalized or die s compared with those who have not been vaccinated,Valid
All three vaccines   Moderna fizer nd Johnson & Johnson  Janssen    have been very well studied and underwent full reviews by experts  The results were carefully reviewed nd the vaccines were scientifically proven to be very safe,Valid
An infection of a fully vaccinated person is referred to as a  vaccine breakthrough infection  ,Valid
And although extremely rare eople can have severe allergic reactions to ingredients used in a vaccine  That s why experts recommend people with a history of severe allergic reactions to the ingredients of the vaccine should not get the vaccination,Valid
Anyone can report events to VAERS ven if it is not clear whether a vaccine caused the problem  Because of this AERS data alone cannot determine if the reported adverse event was caused by a COVID 19 vaccination,Valid
Because none of the authorized COVID 19 vaccines in the United States contain the live virus that causes COVID 19 he vaccine cannot make you sick with COVID 19,Valid
China isolated and shared genetic information about COVID-19 promptly  so scientists could start working on vaccines.,Valid
Coronavirus Updates AIIMS panel gives nod for human clinical trials of indigenous vaccine candidate COVAXIN,Valid
Coronavirus vaccine  Russia s Sechenov University successfully completes  trials of world s first COVID 19,Valid
Coronavirus vaccine update  Good news about Oxford COVID 19 vaccine may be expected today ays a new report,Valid
Coronavirus vaccine update  Nod to human trial marks beginning of the end says govt,Valid
Countries must avoid `vaccine nationalism   world need rules based regime for fair distribution of Covid vaccine ay experts,Valid
COVID 19 vaccine  Serum Institute s Adar Poonawalla says India to have vaccine by December,Valid
COVID 19 vaccine current status  Here are the 10 top contenders for coronavirus vaccines,Valid
COVID 19 vaccine update  These 6 coronavirus vaccines are leading the race,Valid
COVID 19 vaccines are effective at preventing infection erious illness nd death,Valid
COVID 19 vaccines are safe,Valid
COVID 19 vaccines do not cause infertility,Valid
COVID 19 vaccines do not change or interact with your DNA in any way,Valid
COVID 19 vaccines do not contain microchips  Vaccines are developed to fight against disease and are not administered to track your movement,Valid
COVID 19 vaccines do not create or cause variants of the virus that causes COVID 19  Instead OVID 19 vaccines can help prevent new variants from emerging,Valid
COVID 19 vaccines protect everyone ages 5 years and older against severe illness ncluding disease caused by the Delta variant and other variants circulating in the United States,Valid
COVID 19 vaccines protect everyone ages 5 years and older from getting infected and severely ill nd significantly reduce the likelihood of hospitalization and death,Valid
COVID 19 vaccines will not give you coronavirus,Valid
Covid vaccine tracker  when will we have a coronavirus,Valid
Currently no evidence shows that any vaccines ncluding COVID 19 vaccines ause fertility problems  problems trying to get pregnant  in women or men,Valid
Even if you are fully vaccinated f you live in an area with a high COVID 19 Community Level ou   as well as your family and community   will be better protected if you wear a mask when you are in indoor public places,Valid
Even when fully vaccinated people develop symptoms hey tend to be less severe symptoms than in unvaccinated people  This means they are much less likely to be hospitalized or die than people who are not vaccinated,Valid
everyone ages 5 years and older should get vaccinated to protect themselves and those around them ncluding family members who are not able to be vaccinated from severe disease and death,Valid
Everyone will have a slightly different reaction  Chills atigue or body aches for a day or two are signs that your body is building its immune response to COVID 19,Valid
Evidence shows that a longer interval between COVID19 infection and when you get your booster dose gives a better antibody response to the vaccine.This applies to 3rd  4th  5th booster dose.,Valid
Expert group deliberates on strategy to ensure COVID 19 vaccine availability elivery mechanism,Valid
Expert group discusses Covid vaccine procurement,Valid
For parents across the U.S.  today is a day of relief. The FDA has authorized the first COVID 19 shots for kids under five.As early as next week  pending CDC recommendations  parents will be able to offer their youngest the protection of a COVID 19 vaccine.,Valid
Fully vaccinated people with a vaccine breakthrough infection are less likely to develop serious illness than those who are unvaccinated and get COVID 19,Valid
Getting a COVID 19 vaccination is a safer and more dependable way to build immunity to COVID 19 than getting sick with COVID 19,Valid
Govt panel on Covid 19 vaccine protocol discusses delivery mechanism,Valid
he company has an optional version of its product that contains a microchip within the syringe label that helps providers confirm a vaccine dose s origin  The chip itself is not injected into the person getting the vaccine,Valid
he risk of infection ospitalization nd death are all much lower in vaccinated compared to unvaccinated people,Valid
How to make COVID vaccine at home as the second most searched Google query last month,Valid
However t is possible that this swelling could cause a false reading on a mammogram  Some experts recommend getting your mammogram before being vaccinated or waiting four to six weeks after getting your vaccine,Valid
However ymptoms in vaccinated people are much more minor than those who are unvaccinated,Valid
if there are more COVID 19 infections there will be more vaccine breakthrough infections,Valid
If you have already had COVID 19 here s evidence that you can still benefit from the vaccine  At this time xperts don t know how long someone is protected from getting sick again after recovering from COVID 19,Valid
If you still need a spring booster Covid vaccination please get it done now.  You re eligible if you are: aged 75 and over   OR living in a care home for older people OR aged 12 and over with a weakened immune system,Valid
In a study of more than 1 200 middle aged and older adults who d already had three vaccine doses  Pfizer said both booster approaches spurred a substantial jump in omicron fighting antibodies,Valid
In addition to the Indian animal covid vaccine  Russia the US produced one. This will save animal and human lives. ,Valid
In this case t s telling your body to make the spike protein that s on the novel coronavirus  As a result our immune system remembers the protein and is ready to attack and eliminate the real SARS CoV 2 virus,Valid
India s first Covid 19 vaccine races to meet mid August target,Valid
